run_order,run_id,generated_at_utc,status,memory_seed,memory_card_count,embedding,embedding_provenance,chat_model,gatekeeper_model,chat_temperature,time_decay_rate,configured_rag_source,effective_rag_source,qa_isolation,search_method,comparison_setting,policy,top_k,question_count,completed_arm_prompts,rag_trigger_rate,search_execution_rate,required_answer_proxy,irrelevant_memory_mention_rate,prompt_tokens_mean,all_calls_prompt_tokens_total,latency_ms_mean,latency_ms_p95,semantic_overall,semantic_required,semantic_optional,semantic_irrelevant,judge_status,judge_model,result,issue
0,ja_dialogue_ab_v1,2026-07-28T14:24:39Z,stopped,synthetic,1,Nomic_v1.5,generated/reembedded known,Qwen3-14B,Qwen3-14B,0,0.003,both,not_verified,independent,vector,both_top3,mixed,3,30,35/60,,,,,,,,,,,,,none,,35/60 arm問で停止,生成カード1/10、最終scoreなし
1,ja_dialogue_ab_v2,2026-07-28T15:23:54Z,completed,synthetic,10,Nomic_v1.5,generated/reembedded known,Qwen3-14B,Qwen3-14B,0,0,both,not_verified,independent,vector,both_top3,intent_gated,3,30,60/60,0.4,1,0.9,0.5,1392.033333,87766,24208.566667,33228,,,,,none,,必須問は同点,合成固定contextが小さく意味評価なし
1,ja_dialogue_ab_v2,2026-07-28T15:23:54Z,completed,synthetic,10,Nomic_v1.5,generated/reembedded known,Qwen3-14B,Qwen3-14B,0,0,both,not_verified,independent,vector,both_top3,candidates,3,30,60/60,1,1,0.9,0.2,1842.466667,101279,28990.166667,42609,,,,,none,,optional具体化と引換えに全prompt +32%,合成固定contextが小さく意味評価なし
2,ja_dialogue_ab_Jarvis_v3,2026-07-29T13:47:39Z,completed,real-instance-snapshot,155,Nomic_v1.5_reembedded,reembedding model known,Qwen3-14B,Qwen3-14B,0,0,both,cards_fallback_source_files_null,independent,vector,both_top3,intent_gated,3,30,60/60,0.266666667,1,0.383333333,0.2,4660.033333,192528,33453.366667,42336,,,,,none,,required hit@3 2/10、optional 1/10,日本語にNomicが不適合。policy判断に使わない
2,ja_dialogue_ab_Jarvis_v3,2026-07-29T13:47:39Z,completed,real-instance-snapshot,155,Nomic_v1.5_reembedded,reembedding model known,Qwen3-14B,Qwen3-14B,0,0,both,cards_fallback_source_files_null,independent,vector,both_top3,candidates,3,30,60/60,1,1,0.333333333,0.1,4916.933333,200235,32109.866667,49334,,,,,none,,required hit@3 2/10、optional 1/10,日本語にNomicが不適合。policy判断に使わない
3,ja_dialogue_ab_Jarvis_v4,2026-07-29T16:42:08Z,completed,real-instance-snapshot,155,stored_3072d_Gemini-compatible,embedding_meta missing; inferred from dimension/config + retrieval,Qwen3-14B,Qwen3-14B,0,0,both,cards_fallback_source_files_null,independent,vector,both_top3,intent_gated,3,30,60/60,0.266666667,1,0.883333333,0.2,4575.766667,189163,27564.4,35493,,,,,none,,検索required hit@3 9/10、optional hit@20 9/10,proxyの英語言い換え誤判定、provider非決定性
3,ja_dialogue_ab_Jarvis_v4,2026-07-29T16:42:08Z,completed,real-instance-snapshot,155,stored_3072d_Gemini-compatible,embedding_meta missing; inferred from dimension/config + retrieval,Qwen3-14B,Qwen3-14B,0,0,both,cards_fallback_source_files_null,independent,vector,both_top3,candidates,3,30,60/60,1,1,0.7,0.2,4769.266667,194968,33279.233333,48735,,,,,none,,全prompt +3.1%、不要記憶言及は同率,proxyの英語言い換え誤判定、provider非決定性
4,ja_dialogue_ab_Jarvis_v5,2026-07-30T15:57:52Z,completed,real-instance-snapshot,155,stored_3072d_Gemini-compatible,embedding_meta missing; inferred from dimension/config + retrieval,Qwen3-14B,Qwen3-14B,0,0,both,cards_fallback_source_files_null,independent,vector,intent_top3_candidates_top2,intent_gated,3,30,60/60,0.233333333,1,0.533333333,0.2,4561.6,188738,35872.7,50560,,,,,none,,candidates top2でrequired +16.7pt,Semantic Judgeなし。top-kも違うためpolicy単独判断不可
4,ja_dialogue_ab_Jarvis_v5,2026-07-30T15:57:52Z,completed,real-instance-snapshot,155,stored_3072d_Gemini-compatible,embedding_meta missing; inferred from dimension/config + retrieval,Qwen3-14B,Qwen3-14B,0,0,both,cards_fallback_source_files_null,independent,vector,intent_top3_candidates_top2,candidates,2,30,60/60,1,1,0.7,0.2,4786.2,195476,32376.666667,42534,,,,,none,,candidates top2でrequired +16.7pt,Semantic Judgeなし。top-kも違うためpolicy単独判断不可
5,ja_dialogue_ab_Jarvis_v6,2026-08-08T04:46:09Z,judge-partial,real-instance-snapshot,155,stored_3072d_Gemini-compatible,embedding_meta missing; inferred from dimension/config + retrieval,Qwen3-14B,Qwen3-14B,0,0,both,cards_fallback_source_files_null,independent,vector,intent_top3_candidates_top2,intent_gated,3,30,60/60,0.266666667,1,0.6,0.3,4575.333333,189150,27252,37423,0.724137931,0.75,0.75,0.675,partial_29_of_30,gemini-3.5-flash,部分Judgeではcandidates +13.8pt,1問未判定、top-k差あり。完了runと同列に結論化しない
5,ja_dialogue_ab_Jarvis_v6,2026-08-08T04:46:09Z,judge-partial,real-instance-snapshot,155,stored_3072d_Gemini-compatible,embedding_meta missing; inferred from dimension/config + retrieval,Qwen3-14B,Qwen3-14B,0,0,both,cards_fallback_source_files_null,independent,vector,intent_top3_candidates_top2,candidates,2,30,60/60,1,1,0.7,0.2,4786.2,195476,32335.1,46161,0.862068966,0.944444444,0.925,0.725,partial_29_of_30,gemini-3.5-flash,部分Judgeではcandidates +13.8pt,1問未判定、top-k差あり。完了runと同列に結論化しない
6,ja_dialogue_ab_Jarvis_v7,2026-08-08T08:08:40Z,completed,real-instance-snapshot,155,stored_3072d_Gemini-compatible,embedding_meta missing; inferred from dimension/config + retrieval,Qwen3-14B,Qwen3-14B,0,0,both,cards_fallback_source_files_null,independent,vector,intent_top3_candidates_top2,intent_gated,3,30,60/60,0.266666667,1,0.6,0,4490.433333,186603,26913.166667,39767,0.841666667,0.875,0.775,0.875,completed,google/gemma-4-31b-it,全体Semantic 84.17%,ストレス評価基準。top-k差あり
6,ja_dialogue_ab_Jarvis_v7,2026-08-08T08:08:40Z,completed,real-instance-snapshot,155,stored_3072d_Gemini-compatible,embedding_meta missing; inferred from dimension/config + retrieval,Qwen3-14B,Qwen3-14B,0,0,both,cards_fallback_source_files_null,independent,vector,intent_top3_candidates_top2,candidates,2,30,60/60,1,1,0.7,0.1,4701.3,192929,38012.033333,38655,0.775,0.9,0.9,0.525,completed,google/gemma-4-31b-it,必須・補助は改善,全体-6.67pt、不要-35pt。top-k差もある
7,ja_dialogue_ab_Jarvis_v8,2026-08-09T08:09:45Z,completed,real-instance-snapshot,155,stored_3072d_Gemini-compatible,embedding_meta missing; inferred from dimension/config + retrieval,Qwen3-14B,Qwen3-14B,0,0,both,cards_fallback_source_files_null,independent,vector_deep_off,both_top3,intent_gated,3,30,60/60,0.2,1,0.633333333,0,4463.7,191351,29535.2,39013,0.833333333,0.8,0.75,0.95,completed,google/gemma-4-31b-it,全体Semantic 83.33%,同top-kのpolicy比較基準。弱い読み手のストレス評価
7,ja_dialogue_ab_Jarvis_v8,2026-08-09T08:09:45Z,completed,real-instance-snapshot,155,stored_3072d_Gemini-compatible,embedding_meta missing; inferred from dimension/config + retrieval,Qwen3-14B,Qwen3-14B,0,0,both,cards_fallback_source_files_null,independent,vector_deep_off,both_top3,candidates,3,30,60/60,1,1,0.7,0.1,4761.266667,200278,39181.366667,36937,0.816666667,0.95,0.825,0.675,completed,google/gemma-4-31b-it,必須・補助は改善,全体-1.67pt、不要-27.5pt。本番model反復未実施
8,ja_dialogue_ab_Jarvis_v9,2026-08-09T08:56:58Z,completed,real-instance-snapshot,155,stored_3072d_Gemini-compatible,embedding_meta missing; inferred from dimension/config + retrieval,Qwen3-14B,Qwen3-14B,0,0,both,cards_fallback_source_files_null,independent,dual_query_deep_off,both_top3,intent_gated,3,30,60/60,0.2,1,0.633333333,0,4463.7,191351,29424.833333,44674,0.8,0.775,0.775,0.85,completed,google/gemma-4-31b-it,全体Semantic 80.0%,retrieval query利用率10%。弱い読み手のストレス評価
8,ja_dialogue_ab_Jarvis_v9,2026-08-09T08:56:58Z,completed,real-instance-snapshot,155,stored_3072d_Gemini-compatible,embedding_meta missing; inferred from dimension/config + retrieval,Qwen3-14B,Qwen3-14B,0,0,both,cards_fallback_source_files_null,independent,dual_query_deep_off,both_top3,candidates,3,30,60/60,1,1,0.7,0.1,4838.166667,202585,27936.266667,38330,0.75,0.975,0.8,0.475,completed,google/gemma-4-31b-it,必須+20pt、補助+2.5pt,全体-5pt、不要-37.5pt。candidates昇格を支持せず、本番model反復が必要
