series,run_id,generated_at_utc,sample_scope,question_manifest_count,oracle_question_count,method,candidate_limit,recall_at_1,recall_at_3,recall_at_5,recall_at_20,hit_at_1,hit_at_3,hit_at_5,hit_at_20,rescue_at_3,harm_at_3,fallback_rate,baseline,status,conclusion
Phase 1A,qwen3_14b_web_v26,2026-07-27T13:25:46Z,conv-26,199,139,vector,20,0.486211031,0.690647482,,0.836330935,73,107,,126,,,,none,completed,"Recall@3基準。既定vectorを維持"
Phase 1A,qwen3_14b_web_v26,2026-07-27T13:25:46Z,conv-26,199,139,BM25,20,0.4101,0.527,,0.7302,,79,,113,,,,none,tracked-plan-summary,"固有語救済はあるが単独ではvector未満"
Phase 1A,qwen3_14b_web_v26,2026-07-27T13:25:46Z,conv-26,199,139,hybrid_RRF_1_1,20,0.446642686,0.645683453,,0.840527578,68,99,,127,5,8,,vector,completed,"Recall@3 -4.50pt。既定不採用"
Phase 1A,qwen3_14b_web_v26,2026-07-27T13:25:46Z,conv-26,199,139,hybrid_RRF_2_1,20,0.4742,0.6577,,0.8363,,100,,126,,,,vector,tracked-plan-summary,"vector重視でも基準未満"
Phase 1A,qwen3_14b_web_v26,2026-07-27T13:25:46Z,conv-26,199,139,hybrid_RRF_3_1,20,0.4814,0.6523,,0.8363,,100,,126,,,,vector,tracked-plan-summary,"vector重視でも基準未満"
Evidence rerank,qwen3_14b_web_v27,2026-08-10T15:55:57Z,conv-26,199,139,vector,20,0.486211031,0.690647482,,0.836330935,73,107,,126,,,,none,completed,"再現基準"
Evidence rerank,qwen3_14b_web_v27,2026-08-10T15:55:57Z,conv-26,199,139,evidence_rerank,20,0.519784173,0.6882494,,0.836330935,78,107,,126,9,12,0,vector,completed,"Recall@1改善、@3微減。全面置換は見送り"
Evidence rerank,qwen3_14b_web_v27,2026-08-10T15:55:57Z,conv-26,199,139,hybrid,20,0.446642686,0.645683453,,0.840527578,68,99,,127,,,,none,completed,"Fusion前の基準"
Evidence rerank,qwen3_14b_web_v27,2026-08-10T15:55:57Z,conv-26,199,139,hybrid_evidence_rerank,20,0.519784173,0.695443645,,0.840527578,78,108,,127,16,10,0,hybrid,completed,"Recall@3はvector比+0.48ptだがharmも10問"
retrieval_prep,qwen3_14b_web_v28,2026-08-10T15:03:43Z,conv-30,105,66,vector,20,0.505050505,0.676767677,,0.864646465,36,47,,61,,,,none,completed,"別sample基準"
retrieval_prep,qwen3_14b_web_v28,2026-08-10T15:03:43Z,conv-30,105,66,evidence_rerank,20,0.517676768,0.655050505,,0.864646465,38,46,,61,5,5,0,vector,completed,"Recall@1は改善、@3低下。全面置換を支持せず"
retrieval_prep,qwen3_14b_web_v28,2026-08-10T15:03:43Z,conv-30,105,66,hybrid,20,0.522727273,0.654040404,,0.898737374,37,47,,64,,,,none,completed,"Recall@20は上がるが@3低下"
retrieval_prep,qwen3_14b_web_v28,2026-08-10T15:03:43Z,conv-30,105,66,hybrid_evidence_rerank,20,0.532828283,0.67020202,,0.898737374,39,47,,64,8,6,0,hybrid,completed,"hybridを回復するがvectorの@3未満"
all-10,qwen3_14b_web_v29,2026-08-11T14:48:33Z,10 samples,1986,1405,hybrid,20,0.510905135,0.676108225,,0.843636819,820,1067,,1291,,,,none,completed,"大母数の基準"
all-10,qwen3_14b_web_v29,2026-08-11T14:48:33Z,10 samples,1986,1405,hybrid_evidence_fusion_70_30,20,0.510905135,0.708385266,,0.843636819,820,1115,,1291,74,14,0,hybrid,completed,"Recall@3 +3.23pt。QA候補として採用"
weight-sweep,qwen3_14b_web_v32_t0,2026-08-12T14:16:27Z,conv-26,199,139,fusion_70_30,50,0.446642686,0.670863309,0.761990408,0.861510791,68,104,117,131,7,3,0,hybrid_1_1,uncommitted-experiment,"注入top3は維持。候補pool 50"
weight-sweep,qwen3_14b_web_v32_t0,2026-08-12T14:16:27Z,conv-26,199,139,fusion_40_60,50,0.512589928,0.690647482,0.785971223,0.865107914,77,108,121,131,13,5,0,hybrid_1_1,superseded-by-all10,"conv-26では70/30より@3改善。all-10では再現せず（2026-08-14行）"
weight-sweep,qwen3_14b_web_v32_t0,2026-08-12T14:16:27Z,conv-26,199,139,fusion_50_50,50,0.473021583,0.694244604,0.785971223,0.861510791,72,108,121,131,13,4,0,hybrid_1_1,superseded-by-all10,"@3のhit数は40/60と同じ108で並び、@1は40/60が上。conv-26限定の小差"
weight-sweep,qwen3_14b_web_v32_t0,2026-08-12T14:16:27Z,conv-26,199,139,fusion_60_40,50,0.461031175,0.683453237,0.771582734,0.861510791,69,107,119,131,10,3,0,hybrid_1_1,uncommitted-experiment,"50/50未満"
weight-sweep,qwen3_14b_web_v32_t0,2026-08-12T14:16:27Z,conv-26,199,139,fusion_70_30_MMR,50,0.446642686,0.670863309,0.761990408,0.861510791,68,104,117,131,0,0,0,fusion_70_30,uncommitted-experiment,"fusion_70_30比では候補集合8問変更、Recall rescue/harmは0。QA未確認"
pool-isolation,qwen3_14b_web_v32_t0,2026-08-14T17:50:47Z,conv-26,199,139,hybrid,20,0.446642686,0.645683453,0.730815348,0.840527578,68,99,112,127,,,,none,uncommitted-experiment,"pool 20側のFusion前基準"
pool-isolation,qwen3_14b_web_v32_t0,2026-08-14T17:50:47Z,conv-26,199,139,fusion_70_30,20,0.446642686,0.670863309,0.754796163,0.840527578,68,104,116,127,7,3,0,hybrid_1_1,uncommitted-experiment,"pool 50版と@1/@3が完全一致。候補pool拡大はtop3へ届かない"
pool-isolation,qwen3_14b_web_v32_t0,2026-08-14T17:50:47Z,conv-26,199,139,fusion_40_60,20,0.512589928,0.683453237,0.771582734,0.840527578,77,107,119,127,12,5,0,hybrid_1_1,uncommitted-experiment,"pool 20でも@1は+9問。conv-26の改善は重みに帰属し候補数ではない"
pool-isolation,qwen3_14b_web_v32_t0,2026-08-14T17:50:47Z,conv-26,199,139,fusion_50_50,20,0.46942446,0.676258993,0.771582734,0.840527578,71,106,119,127,10,4,0,hybrid_1_1,uncommitted-experiment,"pool 20では@1/@3とも40/60未満"
weight-all10,qwen3_14b_web_v29,2026-08-14T17:56:25Z,10 samples,1986,1405,fusion_70_30,20,0.510905135,0.708385266,0.751834041,0.843636819,820,1115,1166,1291,74,14,0,hybrid_1_1,completed,"2026-08-11記録と完全一致。大母数の@3基準"
weight-all10,qwen3_14b_web_v29,2026-08-14T17:56:25Z,10 samples,1986,1405,fusion_40_60,20,0.518340731,0.705154242,0.763009266,0.843636819,831,1108,1187,1291,111,59,0,hybrid_1_1,completed,"@3は-7問で70/30に及ばず。conv-26の+3問は再現しない。harm@3が14→59へ増加"
weight-all10,qwen3_14b_web_v29,2026-08-14T17:56:25Z,10 samples,1986,1405,fusion_50_50,20,0.532305596,0.706879938,0.758601538,0.843636819,855,1112,1180,1291,102,45,0,hybrid_1_1,completed,"@1は+35問で最高だが@3は-3問。注入top3では利得が届かない"
